TimeUTC,spotMeas,spotPred,imbalMeas,windMeas,windFor,loadFor,trans
2022-03-26 00:00:00,175.990005,174.303499784634,175.99,0.662005163511188,0.627796901893287,1849,-2682.099976
2022-03-26 01:00:00,174.149994,173.354328053113,174.15,0.695998278829604,0.612306368330465,1854,-2836.5
2022-03-26 02:00:00,142.490005,144.427594061403,142.49,0.712779690189329,0.621342512908778,1865,-2773
2022-03-26 03:00:00,117,112.822247110203,117,0.662865748709122,0.606927710843373,1936,-2493
2022-03-26 04:00:00,142.279999,129.10019365319,142.28,0.573364888123924,0.578958691910499,1991,-2613
2022-03-26 05:00:00,173.339996,186.398966541321,173.34,0.49526678141136,0.570352839931153,2121,-2570.099976
2022-03-26 06:00:00,190.279999,188.322705683257,190.28,0.438037865748709,0.554432013769363,2317,-2310.699951
2022-03-26 07:00:00,152.179993,148.900371743522,152.18,0.466652323580034,0.499354561101549,2392,-1646.200012
2022-03-26 08:00:00,159.369995,153.93220899439,159.37,0.401893287435456,0.465576592082616,2373,-1430
2022-03-26 09:00:00,110.050003,121.520881916544,110.05,0.360800344234079,0.448580034423408,2303,-1106.5
2022-03-26 10:00:00,85.940002,85.0852151071797,85.94,0.318631669535284,0.410283993115318,2278,-1053.600014
2022-03-26 11:00:00,83.110001,80.4993947931862,83.11,0.254948364888124,0.399311531841652,2250,-937.299988
2022-03-26 12:00:00,80.379997,88.5555661513368,80.38,0.200516351118761,0.396084337349398,2151,-815.900024
2022-03-26 13:00:00,89.349998,83.7416325467277,89.35,0.171686746987952,0.344879518072289,2105,-741.099976
2022-03-26 14:00:00,157.710007,161.424645495524,157.71,0.162435456110155,0.279259896729776,2073,-842
2022-03-26 15:00:00,199.949997,200.639615301999,199.95,0.152969018932874,0.228915662650602,2181,-916.5
2022-03-26 16:00:00,232.419998,244.770627804358,232.42,0.129302925989673,0.171471600688468,2376,-931.900024
2022-03-26 17:00:00,262.5,236.459975929789,262.5,0.118330464716007,0.137693631669535,2397,-602.399902
2022-03-26 18:00:00,292.23999,285.520106560684,292.24,0.117254733218589,0.12026678141136,2346,-764.900001
2022-03-26 19:00:00,270.040009,282.728816866203,270.04,0.0933734939759036,0.10025817555938,2253,-659.600036
2022-03-26 20:00:00,244.979996,252.510733679674,244.98,0.0647590361445783,0.0684165232358003,2198,-607.5
2022-03-26 21:00:00,244.940002,266.759316754,244.94,0.0419535283993115,0.0488382099827883,2057,-572.300049
2022-03-26 22:00:00,237.75,235.679393129419,237.75,0.0419535283993115,0.044750430292599,1954,-726
2022-03-26 23:00:00,235,221.453604742105,235,0.0548623063683305,0.0352839931153184,1908,-329.699951
2022-03-27 00:00:00,221.929993,224.286758022921,221.93,0.0628227194492255,0.0524956970740103,1869,-511.5
2022-03-27 01:00:00,214.020004,203.999078806796,214.02,0.0800344234079174,0.0709982788296041,1844,-739.199951
2022-03-27 02:00:00,212,209.875588237866,212,0.121342512908778,0.111876075731497,1861,-946
2022-03-27 03:00:00,211.089996,202.862034949935,310.53,0.146729776247849,0.154690189328744,1891,-978.899902
2022-03-27 04:00:00,210.309998,220.39577612517,182.5,0.174698795180723,0.193631669535284,1937,-1086.800049
2022-03-27 05:00:00,214.029999,221.353505990357,177.5,0.226549053356282,0.242469879518072,2036,-1108.399902
2022-03-27 06:00:00,214.080002,228.845143140316,175,0.270438898450947,0.288726333907057,2113,-1299.299927
2022-03-27 07:00:00,214.070007,205.834334888497,173,0.346600688468158,0.345740103270224,2127,-1673.899963
2022-03-27 08:00:00,205.020004,180.665785344476,174,0.40210843373494,0.418459552495697,2129,-2120.90007
2022-03-27 09:00:00,192.369995,182.478359895802,155.5,0.479561101549053,0.481067125645439,2120,-2289.999993
2022-03-27 10:00:00,161.5,150.744010989057,141.5,0.521729776247849,0.519363166953528,2157,-2032.400108
2022-03-27 11:00:00,89.900002,92.1716026179798,89.9,0.5342082616179,0.567986230636833,2114,-1730.999909
2022-03-27 12:00:00,77.970001,79.9379563356882,77.97,0.497848537005164,0.615318416523236,2082,-1816.700043
2022-03-27 13:00:00,92,106.562449302626,92,0.507314974182444,0.619191049913941,2014,-1971.200043
2022-03-27 14:00:00,141.589996,140.335980845933,141.5,0.486015490533563,0.578958691910499,2022,-2110.899979
2022-03-27 15:00:00,194.830002,201.138076960542,160.98,0.491609294320138,0.521299483648881,2215,-2331.400055
2022-03-27 16:00:00,220,227.990765415327,220,0.475688468158348,0.483433734939759,2327,-2421.700027
2022-03-27 17:00:00,199.990005,191.74772675574,199.99,0.44104991394148,0.464716006884682,2328,-2213.4
2022-03-27 18:00:00,196.550003,178.105947749229,196.55,0.44513769363167,0.489027538726334,2247,-2190.499985
2022-03-27 19:00:00,193.589996,164.172918401852,193.59,0.481067125645439,0.51118760757315,2117,-2340.100006
2022-03-27 20:00:00,190.619995,197.913521048184,190.62,0.499139414802065,0.511833046471601,1940,-2407.100006
